Connector,Title,Content,Displaytitle,Category,Resourcetype,Featureimage,Resourcepopupimage,Resourcepopupurl,Filetitle,Filetype,Downloadablefile,Externallink,Audiopreview,Previewonly,Maindownload,Note
1,Edge_CB_1A_U1_T3,,Edge_CB_1A_U1_T3,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U1_T3.mp3,,1,1,0,
2,Edge_CB_1A_U1_T4,,Edge_CB_1A_U1_T4,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U1_T4.mp3,,1,1,0,
3,Edge_CB_1A_U1_T5,,Edge_CB_1A_U1_T5,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U1_T5.mp3,,1,1,0,
4,Edge_CB_1A_U1_T6,,Edge_CB_1A_U1_T6,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U1_T6.mp3,,1,1,0,
5,Edge_CB_1A_U1_T7,,Edge_CB_1A_U1_T7,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U1_T7.mp3,,1,1,0,
6,Edge_CB_1A_U2_T8,,Edge_CB_1A_U2_T8,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U2_T8.mp3,,1,1,0,
7,Edge_CB_1A_U2_T9,,Edge_CB_1A_U2_T9,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U2_T9.mp3,,1,1,0,
8,Edge_CB_1A_U2_T10,,Edge_CB_1A_U2_T10,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U2_T10.mp3,,1,1,0,
9,Edge_CB_1A_U2_T11,,Edge_CB_1A_U2_T11,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U2_T11.mp3,,1,1,0,
10,Edge_CB_1A_U2_T12,,Edge_CB_1A_U2_T12,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U2_T12.mp3,,1,1,0,
11,Edge_CB_1A_U2_T13,,Edge_CB_1A_U2_T13,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Edge_CB_1A_U2_T13.mp3,,1,1,0,
