title,content,displaytitle,category,resourcetype,featureimage,resourcepopupimage,resourcepopupurl,filetitle,filetype,downloadablefile,externallink,audiopreview,previewonly,maindownload,note
Z Test Object 1,testing,Z Test Object 1,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/e7a61927a05e430f7fdd6bb41d3c03b2.png,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/e7a61927a05e430f7fdd6bb41d3c03b2.png,,Z_IMAGE_1,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/e7a61927a05e430f7fdd6bb41d3c03b2.png,,0,0,1,
Z Test Object 2,,Z Test Object 2,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl22.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl22.jpg,,Z_IMAGE_2,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl22.jpg,,0,0,1,
Z Test Object 3,,Z Test Object 3,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl33.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl33.jpg,,Z_IMAGE_3,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl33.jpg,,0,0,1,
Z Test Object 4,,Z Test Object 4,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl32.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl32.jpg,,Z_IMAGE_4,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl32.jpg,,0,0,1,
Z Test Object 5,,Z Test Object 5,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl32.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl32.jpg,,Z_IMAGE_5,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl32.jpg,,0,0,1,
Z Test Object 6,,Z Test Object 6,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl31.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl31.jpg,,Z_IMAGE_6,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl31.jpg,,0,0,1,
Z Test Object 7,,Z Test Object 7,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl30.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl30.jpg,,Z_IMAGE_7,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl30.jpg,,0,0,1,
Z Test Object 8,,Z Test Object 8,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl29.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl29.jpg,,Z_IMAGE_8,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl29.jpg,,0,0,1,
Z Test Object 9,,Z Test Object 9,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl28.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl28.jpg,,Z_IMAGE_9,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl28.jpg,,0,0,1,
Z Test Object 10,,Z Test Object 10,,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl25.jpg,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl25.jpg,,Z_IMAGE_10,image,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/01/nck_self_bl25.jpg,,0,0,1,
