Connector,title,content,displaytitle,category,resourcetype,featureimage,resourcepopupimage,resourcepopupurl,filetitle,filetype,downloadablefile,externallink,audiopreview,previewonly,maindownload,note
1,Fujifilm X-T1,,Fujifilm X-T1,cam_e|apsc_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/XT1.jpg,,,Fujifilm X-T1,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/XT1.jpg,,,,,
2,Fujifilm X-T2,,Fujifilm X-T2,cam_e|apsc_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/XT2.jpg,,,Fujifilm X-T2,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/XT2.jpg,,,,,
3,Fujifilm X-T3,,Fujifilm X-T3,cam_e|apsc_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/XT3.jpg,,,Fujifilm X-T3,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/XT3.jpg,,,,,
4,Fujifilm X-H1,,Fujifilm X-H1,cam_e|apsc_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/XH1.jpg,,,Fujifilm X-H1,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/XH1.jpg,,,,,
5,Nikon D850,,Nikon D850,cam_e|fullframe_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/d850.jpg,,,Nikon D850,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/d850.jpg,,,,,
6,Nikon D600,,Nikon D600,cam_e|fullframe_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/d600.jpg,,,Nikon D600,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/d600.jpg,,,,,
7,Nikon D4s,,Nikon D4s,cam_e|fullframe_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/d4s.jpg,,,Nikon D4s,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/d4s.jpg,,,,,
8,DJI Mavic 2 Pro,,DJI Mavic 2 Pro,drone_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/m2p.jpg,,,DJI Mavic 2 Pro,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/m2p.jpg,,,,,
9,DJI Mavic 2 Zoom,,DJI Mavic 2 Zoom,drone_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/m2z.jpg,,,DJI Mavic 2 Zoom,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/m2z.jpg,,,,,
10,DJI Spark,,DJI Spark,drone_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/spark.jpg,,,DJI Spark,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/spark.jpg,,,,,
11,DJI Air,,DJI Air,drone_e,image-file,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/air.jpg,,,DJI Air,image ,http://ptcheckweb.pprod4.ilongman.com/wp-content/uploads/2019/04/air.jpg,,,,,
