title,content,displaytitle,category,resourcetype,featureimage,,resourcepopupurl,filetitle,filetype,downloadablefile,externallink,audiopreview,previewonly,maindownload,note
不尊重其他文化,,不尊重其他文化,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/不尊重其他文化.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/不尊重其他文化.jpg,不尊重其他文化,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/不尊重其他文化.jpg,,,0,0,
中國贈送熊貓,,中國贈送熊貓,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/中國贈送熊貓.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/中國贈送熊貓.jpg,中國贈送熊貓,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/中國贈送熊貓.jpg,,,,,
倫敦塔橋,,倫敦塔橋,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/倫敦塔橋.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/倫敦塔橋.jpg,倫敦塔橋,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/倫敦塔橋.jpg,,,,,
傳統中式婚服,,傳統中式婚服,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/傳統中式婚服.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/傳統中式婚服.jpg,傳統中式婚服,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/傳統中式婚服.jpg,,,,,
全球化影響,,全球化影響,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化影響.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化影響.jpg,全球化影響,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化影響.jpg,,,,,
全球化現象,,全球化現象,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化現象.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化現象.jpg,全球化現象,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化現象.jpg,,,,,
冰屋,,冰屋,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋.jpg,冰屋,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋.jpg,,,,,
冰屋2,,冰屋2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋2.jpg,冰屋2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋2.jpg,,,,,
冰屋3,,冰屋3,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋3.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋3.jpg,冰屋3,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋3.jpg,,,,,
分享旅遊相片,,分享旅遊相片,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/分享旅遊相片.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/分享旅遊相片.jpg,分享旅遊相片,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/分享旅遊相片.jpg,,,,,
分享旅遊相片2,,分享旅遊相片2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/分享旅遊相片2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/分享旅遊相片2.jpg,分享旅遊相片2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/分享旅遊相片2.jpg,,,,,
到外國升學,,到外國升學,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/到外國升學.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/到外國升學.jpg,到外國升學,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/到外國升學.jpg,,,,,
印尼佳美蘭音樂,,印尼佳美蘭音樂,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼佳美蘭音樂.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼佳美蘭音樂.jpg,印尼佳美蘭音樂,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼佳美蘭音樂.jpg,,,,,
印尼傳統樂器昂格隆,,印尼傳統樂器昂格隆,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼傳統樂器昂格隆.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼傳統樂器昂格隆.jpg,印尼傳統樂器昂格隆,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼傳統樂器昂格隆.jpg,,,,,
印度傳統服飾,,印度傳統服飾,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾.jpg,印度傳統服飾,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾.jpg,,,,,
印度傳統服飾2,,印度傳統服飾2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾2.jpg,印度傳統服飾2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾2.jpg,,,,,
印度傳統服飾3,,印度傳統服飾3,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾3.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾3.jpg,印度傳統服飾3,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾3.jpg,,,,,
參觀清真寺,,參觀清真寺,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/參觀清真寺.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/參觀清真寺.jpg,參觀清真寺,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/參觀清真寺.jpg,,,,,
取笑他人傳統,,取笑他人傳統,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/取笑他人傳統.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/取笑他人傳統.jpg,取笑他人傳統,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/取笑他人傳統.jpg,,,,,
古代中外貿易,,古代中外貿易,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/古代中外貿易.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/古代中外貿易.jpg,古代中外貿易,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/古代中外貿易.jpg,,,,,
吃聖誕大餐,,吃聖誕大餐,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/吃聖誕大餐.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/吃聖誕大餐.jpg,吃聖誕大餐,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/吃聖誕大餐.jpg,,,,,
在日本餐廳吃壽司,,在日本餐廳吃壽司,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/在日本餐廳吃壽司.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/在日本餐廳吃壽司.jpg,在日本餐廳吃壽司,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/在日本餐廳吃壽司.jpg,,,,,
尊重其他文化,,尊重其他文化,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化.JPG,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化.JPG,尊重其他文化,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化.JPG,,,,,
尊重其他文化2,,尊重其他文化2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化2.JPG,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化2.JPG,尊重其他文化2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化2.JPG,,,,,
尊重其他文化3,,尊重其他文化3,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化3.JPG,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化3.JPG,尊重其他文化3,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化3.JPG,,,,,
尊重其他文化4,,尊重其他文化4,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化4.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化4.jpg,尊重其他文化4,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/尊重其他文化4.jpg,,,,,
小提琴演奏,,小提琴演奏,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/小提琴演奏.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/小提琴演奏.jpg,小提琴演奏,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/小提琴演奏.jpg,,,,,
巴西森巴舞,,巴西森巴舞,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/巴西森巴舞.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/巴西森巴舞.jpg,巴西森巴舞,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/巴西森巴舞.jpg,,,,,
復活蛋,,復活蛋,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/復活蛋.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/復活蛋.jpg,復活蛋,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/復活蛋.jpg,,,,,
悉尼歌劇院,,悉尼歌劇院,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/悉尼歌劇院.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/悉尼歌劇院.jpg,悉尼歌劇院,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/悉尼歌劇院.jpg,,,,,
意大利薄餅,,意大利薄餅,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/意大利薄餅.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/意大利薄餅.jpg,意大利薄餅,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/意大利薄餅.jpg,,,,,
慶祝父親節,,慶祝父親節,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/慶祝父親節.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/慶祝父親節.jpg,慶祝父親節,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/慶祝父親節.jpg,,,,,
抗拒不同文化,,抗拒不同文化,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/抗拒不同文化.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/抗拒不同文化.jpg,抗拒不同文化,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/抗拒不同文化.jpg,,,,,
探訪外國人,,探訪外國人,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/探訪外國人.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/探訪外國人.jpg,探訪外國人,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/探訪外國人.jpg,,,,,
